2/8/2020, AAAA, buy, 12.55, 2510.00, 200.000
2/21/2020, AAAA, buy, 12.01, 720.60, 60.000
3/30/2020, AAAA, capital gain, 11.88, 66.77, 5.620
4/21/2020, AAAA, sell, 16.23, 1065.01, 65.620
4/29/2020, AAAA, sell, 11.86, 1186.00, 100.000
4/30/2020, AAAA, sell, 11.64, 1164.00, 100.000


2/19/2020, BBBB, buy, 20.88, 3132.00, 150.000
3/18/2020, BBBB, sell, 25.13, 1256.50, 50.000
4/14/2020, BBBB, buy, 14.25, 1068.75, 75.000
4/15/2020, BBBB, sell, 19.47, 3407.25, 175.000


2/27/2020, CCC, buy, 62.48, 5310.80, 85.000
3/10/2020, CCC, dividend, 61.05, 151.40, 2.480
4/9/2020, CCC, sell, 58.88, 5310.80, 60.480
4/17/2020, CCC, dividend, 58.22, 383.09, 6.580
4/27/2020, CCC, sell, 64.36, 2161.21, 33.580
