1/8/2020, GE, buy, 6.84, 82.08, 12.000
1/20/2020, MMM, buy, 146.46, 878.76, 6.000
1/22/2020, BAC, buy, 23.28, 1164.00, 50.000
1/30/2020, MCD, buy, 186.10, 1581.85, 8.500
2/11/2020, MMM, dividend, 140.02, 117.62, 0.840
2/14/2020, MMM, sell, 150.21, 450.63, 3.000
2/19/2020, MCD, capital gain, 194.33, 272.06, 1.400
2/25/2020, GE, buy, 7.02, 98.28, 14.000
2/27/2020, MMM, sell, 148.44, 570.01, 3.840
3/3/2020, BAC, dividend, 21.04, 72.59, 3.450
3/17/2020, BAC, buy, 20.86, 208.60, 10.000
4/1/2020, MCD, sell, 204.35, 1226.10, 6.000
